PageURL,TableHeader
http://localhost:8080/oshaiger-bgsoft/admin/accounting/banking?group=bank_accounts,Parent account
http://localhost:8080/oshaiger-bgsoft/admin/accounting/banking?group=bank_accounts,Type
http://localhost:8080/oshaiger-bgsoft/admin/accounting/banking?group=bank_accounts,Detail type
http://localhost:8080/oshaiger-bgsoft/admin/accounting/banking?group=bank_accounts,Primary balance
http://localhost:8080/oshaiger-bgsoft/admin/accounting/banking?group=bank_accounts,Bank balance
http://localhost:8080/oshaiger-bgsoft/admin/accounting/banking?group=bank_accounts,Active
http://localhost:8080/oshaiger-bgsoft/admin/accounting/banking?group=bank_accounts,Options
http://localhost:8080/oshaiger-bgsoft/admin/accounting/journal_entry,Journal date
http://localhost:8080/oshaiger-bgsoft/admin/accounting/journal_entry,Number - Description
http://localhost:8080/oshaiger-bgsoft/admin/accounting/journal_entry,Amount
http://localhost:8080/oshaiger-bgsoft/admin/accounting/transaction?group=sales,Date
http://localhost:8080/oshaiger-bgsoft/admin/accounting/transaction?group=sales,Amount
http://localhost:8080/oshaiger-bgsoft/admin/accounting/transaction?group=sales,Payment Mode
http://localhost:8080/oshaiger-bgsoft/admin/accounting/transaction?group=sales,Invoice
http://localhost:8080/oshaiger-bgsoft/admin/accounting/transaction?group=sales,Status
http://localhost:8080/oshaiger-bgsoft/admin/accounting/transaction?group=sales,Mapping
http://localhost:8080/oshaiger-bgsoft/admin/accounting/transfer,Transfer funds from
http://localhost:8080/oshaiger-bgsoft/admin/accounting/transfer,Transfer funds to
http://localhost:8080/oshaiger-bgsoft/admin/accounting/transfer,Transfer amount
http://localhost:8080/oshaiger-bgsoft/admin/accounting/transfer,Date
http://localhost:8080/oshaiger-bgsoft/admin/accounting/chart_of_accounts,Name
http://localhost:8080/oshaiger-bgsoft/admin/accounting/chart_of_accounts,Parent account
http://localhost:8080/oshaiger-bgsoft/admin/accounting/chart_of_accounts,Type
http://localhost:8080/oshaiger-bgsoft/admin/accounting/chart_of_accounts,Detail type
http://localhost:8080/oshaiger-bgsoft/admin/accounting/chart_of_accounts,Primary balance
http://localhost:8080/oshaiger-bgsoft/admin/accounting/chart_of_accounts,Bank balance
http://localhost:8080/oshaiger-bgsoft/admin/accounting/chart_of_accounts,Active
http://localhost:8080/oshaiger-bgsoft/admin/accounting/chart_of_accounts,Options
http://localhost:8080/oshaiger-bgsoft/admin/hr_profile/job_positions,Job Code
http://localhost:8080/oshaiger-bgsoft/admin/hr_profile/job_positions,Name
http://localhost:8080/oshaiger-bgsoft/admin/hr_profile/job_positions,Job descriptions
http://localhost:8080/oshaiger-bgsoft/admin/hr_profile/job_positions,Department Name
http://localhost:8080/oshaiger-bgsoft/admin/hr_profile/job_positions,Job Group
http://localhost:8080/oshaiger-bgsoft/admin/hr_profile/organizational_chart,ID
http://localhost:8080/oshaiger-bgsoft/admin/hr_profile/organizational_chart,Name
http://localhost:8080/oshaiger-bgsoft/admin/hr_profile/organizational_chart,Parent unit
http://localhost:8080/oshaiger-bgsoft/admin/hr_profile/organizational_chart,Unit manager
http://localhost:8080/oshaiger-bgsoft/admin/hr_profile/organizational_chart,Unit email
http://localhost:8080/oshaiger-bgsoft/admin/hr_profile/organizational_chart,Google Calendar ID
http://localhost:8080/oshaiger-bgsoft/admin/hr_profile/organizational_chart,Options
http://localhost:8080/oshaiger-bgsoft/admin/hr_profile/reception_staff,Full Name
http://localhost:8080/oshaiger-bgsoft/admin/hr_profile/reception_staff,Staff code
http://localhost:8080/oshaiger-bgsoft/admin/hr_profile/reception_staff,Birthday
http://localhost:8080/oshaiger-bgsoft/admin/hr_profile/reception_staff,Finished
http://localhost:8080/oshaiger-bgsoft/admin/hr_profile/staff_infor,Full Name
http://localhost:8080/oshaiger-bgsoft/admin/hr_profile/staff_infor,Staff code
http://localhost:8080/oshaiger-bgsoft/admin/hr_profile/staff_infor,Email
http://localhost:8080/oshaiger-bgsoft/admin/hr_profile/staff_infor,Departments
http://localhost:8080/oshaiger-bgsoft/admin/hr_profile/staff_infor,Gender
http://localhost:8080/oshaiger-bgsoft/admin/hr_profile/staff_infor,Job position
http://localhost:8080/oshaiger-bgsoft/admin/hr_profile/staff_infor,Role
http://localhost:8080/oshaiger-bgsoft/admin/hr_profile/staff_infor,Active
http://localhost:8080/oshaiger-bgsoft/admin/hr_profile/staff_infor,Status
http://localhost:8080/oshaiger-bgsoft/admin/hr_profile/training?group=training_program,Name
http://localhost:8080/oshaiger-bgsoft/admin/hr_profile/training?group=training_program,Training type
http://localhost:8080/oshaiger-bgsoft/admin/hr_profile/training?group=training_program,Description
http://localhost:8080/oshaiger-bgsoft/admin/hr_profile/training?group=training_program,Minimum point
http://localhost:8080/oshaiger-bgsoft/admin/hr_profile/training?group=training_program,Created date
http://localhost:8080/oshaiger-bgsoft/admin/hr_profile/contracts,Contract code
http://localhost:8080/oshaiger-bgsoft/admin/hr_profile/contracts,Contract type
http://localhost:8080/oshaiger-bgsoft/admin/hr_profile/contracts,Staff
http://localhost:8080/oshaiger-bgsoft/admin/hr_profile/contracts,Departments
http://localhost:8080/oshaiger-bgsoft/admin/hr_profile/contracts,Effective date
http://localhost:8080/oshaiger-bgsoft/admin/hr_profile/contracts,Expiration date
http://localhost:8080/oshaiger-bgsoft/admin/hr_profile/contracts,Status
http://localhost:8080/oshaiger-bgsoft/admin/hr_profile/contracts,Signature Date
http://localhost:8080/oshaiger-bgsoft/admin/hr_profile/dependent_persons,Dependant name
http://localhost:8080/oshaiger-bgsoft/admin/hr_profile/dependent_persons,Staff name
http://localhost:8080/oshaiger-bgsoft/admin/hr_profile/dependent_persons,Date of birth
http://localhost:8080/oshaiger-bgsoft/admin/hr_profile/dependent_persons,Citizen identification
http://localhost:8080/oshaiger-bgsoft/admin/hr_profile/dependent_persons,Effective date
http://localhost:8080/oshaiger-bgsoft/admin/hr_profile/dependent_persons,Reason
http://localhost:8080/oshaiger-bgsoft/admin/hr_profile/dependent_persons,Status
http://localhost:8080/oshaiger-bgsoft/admin/hr_profile/dependent_persons,Options
http://localhost:8080/oshaiger-bgsoft/admin/hr_profile/dependent_persons,Respond
http://localhost:8080/oshaiger-bgsoft/admin/hr_profile/resignation_procedures,Staff name
http://localhost:8080/oshaiger-bgsoft/admin/hr_profile/resignation_procedures,Departments
http://localhost:8080/oshaiger-bgsoft/admin/hr_profile/resignation_procedures,Job position
http://localhost:8080/oshaiger-bgsoft/admin/hr_profile/resignation_procedures,Email
